                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.427,                 2.6082,                 1.3535,                0.43317,                0.33395,                0.33022,                0.17976,                    nan,                    nan,                    nan,              0.0033254,              0.0033254,              0.0033254
                      2,                 1.2975,                 1.9166,                 1.2728,                0.43921,                 0.3932,                0.36916,                 0.2036,                    nan,                    nan,                    nan,              0.0065928,              0.0065928,              0.0065928
                      3,                 1.3348,                 1.7648,                 1.2921,                0.55524,                0.39823,                0.43094,                 0.2511,                    nan,                    nan,                    nan,              0.0097942,              0.0097942,              0.0097942
                      4,                 1.3507,                 1.6594,                 1.3229,                0.55437,                0.43489,                0.46782,                0.27192,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.3013,                 1.5095,                 1.2946,                0.65416,                0.46506,                0.52064,                0.31633,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      6,                  1.249,                 1.3932,                 1.2641,                0.64906,                0.51494,                0.56518,                 0.3534,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      7,                 1.2145,                 1.3171,                 1.2386,                0.70322,                0.52614,                0.59483,                0.37604,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      8,                 1.1907,                 1.2558,                  1.223,                0.64307,                0.52987,                0.57575,                0.36387,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      9,                 1.1593,                 1.2068,                  1.207,                0.70086,                0.56386,                0.62418,                 0.4143,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     10,                 1.1379,                 1.1531,                 1.1937,                0.71365,                0.58901,                0.64516,                0.41995,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     11,                 1.1168,                 1.1152,                 1.1842,                0.73905,                0.59575,                0.66424,                0.45538,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     12,                    1.1,                 1.0804,                 1.1782,                0.75311,                0.60487,                 0.6633,                0.45208,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     13,                 1.0882,                   1.05,                 1.1641,                0.77968,                 0.5933,                0.66206,                0.45851,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     14,                 1.0651,                 1.0158,                 1.1542,                0.79551,                0.60842,                0.70257,                0.49195,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     15,                  1.052,                 1.0056,                 1.1456,                 0.7693,                0.62725,                0.69179,                0.47602,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     16,                  1.048,                0.98417,                 1.1417,                0.75612,                0.61474,                0.67288,                0.45479,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     17,                 1.0364,                   0.96,                 1.1359,                0.80157,                0.60398,                0.69153,                0.46909,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
